name,price,sku,description,part_no,brand,terrain_type,vehicle_type,drive_train,scale,image
Traxxas E-Revo 2.0 Blue RTR,$869.99,20334861115,"There is no other monster truck like E-Revo. It embodies the highest level of creativity in design and engineering that unleashed a stunning array of new technology, new innovation, and unheard of speed that reset every benchmark for racing monster truck performance. Now there is a new generation of E-Revo. This E-Revo retains all the benefits of its original ground-breaking, award-winning design, but fortifies them with brute strength and an intense, take-no-prisoners attitude to deliver what is simply the ultimate 6s monster. Get ready for a whole new level of power, strength, and speed.",86086-4BLUE,Traxxas,Off-Road,Monster Truck,4WD,1/10,86086-4blue.jpg
Traxxas E-revo 2.0 Green Rtr,$869.99,20334860910,"There is no other monster truck like E-Revo. It embodies the highest level of creativity in design and engineering that unleashed a stunning array of new technology, new innovation, and unheard of speed that reset every benchmark for racing monster truck performance. Now there is a new generation of E-Revo. This E-Revo retains all the benefits of its original ground-breaking, award-winning design, but fortifies them with brute strength and an intense, take-no-prisoners attitude to deliver what is simply the ultimate 6s monster. Get ready for a whole new level of power, strength, and speed.",86086-4,Traxxas,Off-Road,Monster Truck,4WD,1/10,e-revo_green.jpg
Traxxas E-revo 2.0 Orange Rtr,$869.99,20334860811,"There is no other monster truck like E-Revo. It embodies the highest level of creativity in design and engineering that unleashed a stunning array of new technology, new innovation, and unheard of speed that reset every benchmark for racing monster truck performance. Now there is a new generation of E-Revo. This E-Revo retains all the benefits of its original ground-breaking, award-winning design, but fortifies them with brute strength and an intense, take-no-prisoners attitude to deliver what is simply the ultimate 6s monster. Get ready for a whole new level of power, strength, and speed.",86086-4,Traxxas,Off-Road,Monster Truck,4WD,1/10,e-revo_orange.jpg
Traxxas E-Revo 2.0 Purple RTR,$869.99,20334861016,"There is no other monster truck like E-Revo. It embodies the highest level of creativity in design and engineering that unleashed a stunning array of new technology, new innovation, and unheard of speed that reset every benchmark for racing monster truck performance. Now there is a new generation of E-Revo. This E-Revo retains all the benefits of its original ground-breaking, award-winning design, but fortifies them with brute strength and an intense, take-no-prisoners attitude to deliver what is simply the ultimate 6s monster. Get ready for a whole new level of power, strength, and speed.",86086-4PRPL,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra86086-4purple.jpg
Traxxas Hoss 4X4 VXL - Green & Blue 1/10 Scale 4WD Brushless,$685.99,20334900715,The all-new Hoss 4X4 VXL unleashes extreme monster truck fun with the speed and style only Traxxas can deliver. Grab a fistful of throttle and the Velineon 540XL motor delivers massive torque to wheelie on command and hold the front end high as long as you dare.,90076-4GREEN,Traxxas,Off-Road,Monster Truck,4WD,1/10,90076-4green.jpg
Traxxas Hoss 4X4 VXL - Orange & Purple 1/10 Scale 4WD Brushless Electric Monster Truck,$685.99,20334900814,The all-new Hoss 4X4 VXL unleashes extreme monster truck fun with the speed and style only Traxxas can deliver. Grab a fistful of throttle and the Velineon 540XL motor delivers massive torque to wheelie on command and hold the front end high as long as you dare.,90076-4ORANGE,Traxxas,Off-Road,Monster Truck,4WD,1/10,90076-4orange.jpg
Traxxas Maxx 4s Monster Truck Blue,$799.99,20334890818,"The Traxxas X-Maxx forever changed the face of RC monster trucks. Its radical new design, massive size, brutal strength, and unmatched power transformed X-Maxx into the stuff of legends. There is really nothing else like it… until now. Meet the all-new 1/10 Traxxas Maxx. Maxx expertly packages X-Maxx’s innovative design elements into a lighter, more compact, more ferocious beast that is ready to take speed and strength to new levels extreme intensity. Let the fun begin!",89076-4BLUE,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra89076-4blue.jpg
Traxxas Maxx 4s Monster Truck Green,$799.99,20334891112,"The Traxxas X-Maxx forever changed the face of RC monster trucks. Its radical new design, massive size, brutal strength, and unmatched power transformed X-Maxx into the stuff of legends. There is really nothing else like it… until now. Meet the all-new 1/10 Traxxas Maxx. Maxx expertly packages X-Maxx’s innovative design elements into a lighter, more compact, more ferocious beast that is ready to take speed and strength to new levels extreme intensity. Let the fun begin!",89076-4GREEN,Traxxas,Off-Road,Monster Truck,4WD,1/10,89076-4green.jpg
Traxxas Maxx 4s Monster Truck Orange,$799.99,20334890917,"The Traxxas X-Maxx forever changed the face of RC monster trucks. Its radical new design, massive size, brutal strength, and unmatched power transformed X-Maxx into the stuff of legends. There is really nothing else like it… until now. Meet the all-new 1/10 Traxxas Maxx. Maxx expertly packages X-Maxx’s innovative design elements into a lighter, more compact, more ferocious beast that is ready to take speed and strength to new levels extreme intensity. Let the fun begin!",89076-4ORANGE,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra89076-4orange.jpg
Traxxas Maxx 4s Monster Truck Red,$799.99,20334891013,"The Traxxas X-Maxx forever changed the face of RC monster trucks. Its radical new design, massive size, brutal strength, and unmatched power transformed X-Maxx into the stuff of legends. There is really nothing else like it… until now. Meet the all-new 1/10 Traxxas Maxx. Maxx expertly packages X-Maxx’s innovative design elements into a lighter, more compact, more ferocious beast that is ready to take speed and strength to new levels extreme intensity. Let the fun begin!",89076-4Red,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra89076-4red.jpg
Traxxas Maxx 4s Monster Truck RNR,$799.99,20334891211,"The Traxxas X-Maxx forever changed the face of RC monster trucks. Its radical new design, massive size, brutal strength, and unmatched power transformed X-Maxx into the stuff of legends. There is really nothing else like it… until now. Meet the all-new 1/10 Traxxas Maxx. Maxx expertly packages X-Maxx’s innovative design elements into a lighter, more compact, more ferocious beast that is ready to take speed and strength to new levels extreme intensity. Let the fun begin!",89076-4RNR,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra89076-4rnr.jpg
Traxxas Mercedes-Benz G 63 AMG TRX6 6x6 Crawler Black,$899.99,20334880918,"The Traxxas TRX-6 1/10 6x6 Trail Crawler Truck with Mercedes-Benz G 63 AMG Body and included TQi 2.4GHz Radio have been brought together to create an aggressive, adaptable and unique all-terrain vehicle. Traxxas has mastered the bold style and no-compromise approach of the Mercedes-Benz G 63 AMG 6x6 with an officially licensed detailed scale replica built on the new TRX-6 platform. This brawny-yet-brainy off-road model features six drive wheels, three T-Lock remote-locking differentials, portal axles, high/low transmission, six aluminum long-travel shocks, and a true-to-scale body with brilliant LED lighting already equipped and ready to light up the trails.",88096-4BLACK,Traxxas,Off-Road,"Crawler,Scale Replica",Other,1/10,tra88096-4-blk.jpg
Traxxas Mercedes-Benz G 63 AMG TRX6 6x6 Crawler Silver,$899.99,20334881014,"The Traxxas TRX-6 1/10 6x6 Trail Crawler Truck with Mercedes-Benz G 63 AMG Body and included TQi 2.4GHz Radio have been brought together to create an aggressive, adaptable and unique all-terrain vehicle. Traxxas has mastered the bold style and no-compromise approach of the Mercedes-Benz G 63 AMG 6x6 with an officially licensed detailed scale replica built on the new TRX-6 platform. This brawny-yet-brainy off-road model features six drive wheels, three T-Lock remote-locking differentials, portal axles, high/low transmission, six aluminum long-travel shocks, and a true-to-scale body with brilliant LED lighting already equipped and ready to light up the trails.",88096-4Silver,Traxxas,Off-Road,"Crawler,Scale Replica",Other,1/10,trx880964sl_350.jpg
Traxxas Revo 3.3 4WD RTR Nitro Monster Truck Blue,$725.99,20334532817,"The Revo 3.3 defines what it means to be the pinnacle of monster truck performance, the standard bearer for cutting edge innovation and boundless capability that all others are measured against. The Revo 3.3 is pure monster to its core with its massive presence, meaner gaze, and feature-rich capability.",53097-3Blue,Traxxas,Off-Road,Monster Truck,4WD,1/10,61qyktla-ul._ac_sx679_.jpg
Traxxas Revo 3.3 4WD RTR Nitro Monster Truck Red,$725.99,20334532732,"The Revo 3.3 defines what it means to be the pinnacle of monster truck performance, the standard bearer for cutting edge innovation and boundless capability that all others are measured against. The Revo 3.3 is pure monster to its core with its massive presence, meaner gaze, and feature-rich capability.",53097-3Red,Traxxas,Off-Road,Monster Truck,4WD,1/10,trx53097-3-red.jpg
Traxxas Revo 3.3 4WD RTR Nitro Monster Truck Silver,$725.99,20334533012,"The Revo 3.3 defines what it means to be the pinnacle of monster truck performance, the standard bearer for cutting edge innovation and boundless capability that all others are measured against. The Revo 3.3 is pure monster to its core with its massive presence, meaner gaze, and feature-rich capability.",53097-3SILVER,Traxxas,Off-Road,Monster Truck,4WD,1/10,53097-3silver.jpg
Traxxas Revo 3.3 Green,$725.99,20334530936,"The Revo 3.3 defines what it means to be the pinnacle of monster truck performance, the standard bearer for cutting edge innovation and boundless capability that all others are measured against. The Revo 3.3 is pure monster to its core with its massive presence, meaner gaze, and feature-rich capability.",53097-1,Traxxas,Off-Road,Monster Truck,4WD,1/10,revo_1.jpg
Traxxas Rustler 1/10 RTR Stadium Truck BlueX XL-5,$289.99,20334372116,"The Traxxas Rustler is a proven favorite with a formula for rugged fun that nothing else can touch. The Rustler blows the doors off the competition with more power, smoother control, better grip, and performance that makes it one of the fastest Ready-To-Race electric trucks available. The Rustler rips off-road roost with its powerful Titan 12-Turn modified 550 motor and XL-5 Electronic Speed Control.",37054-1-Bluex,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37054-4.jpg
Traxxas Rustler 1/10 RTR Stadium Truck Green XL-5,$289.99,20334372512,"The Traxxas Rustler is a proven favorite with a formula for rugged fun that nothing else can touch. The Rustler blows the doors off the competition with more power, smoother control, better grip, and performance that makes it one of the fastest Ready-To-Race electric trucks available. The Rustler rips off-road roost with its powerful Titan 12-Turn modified 550 motor and XL-5 Electronic Speed Control.",37054-1GREEN,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37054-1green.jpg
Traxxas Rustler 1/10 RTR Stadium Truck Orange XL-5,$289.99,20334372611,"The Traxxas Rustler is a proven favorite with a formula for rugged fun that nothing else can touch. The Rustler blows the doors off the competition with more power, smoother control, better grip, and performance that makes it one of the fastest Ready-To-Race electric trucks available. The Rustler rips off-road roost with its powerful Titan 12-Turn modified 550 motor and XL-5 Electronic Speed Control.",37054-1ORANGE,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37054-1orange.jpg
Traxxas Rustler 1/10 RTR Stadium Truck RedX XL-5,$289.99,20334372215,"The Traxxas Rustler is a proven favorite with a formula for rugged fun that nothing else can touch. The Rustler blows the doors off the competition with more power, smoother control, better grip, and performance that makes it one of the fastest Ready-To-Race electric trucks available. The Rustler rips off-road roost with its powerful Titan 12-Turn modified 550 motor and XL-5 Electronic Speed Control.",37054-1-Redx,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37054-1redx.jpg
Traxxas Rustler 4x4 VXL Green,$579.99,20334671219,"The all-new Rustler 4X4 VXL is a hard-charging wheelie machine that captures the speed and classic style of the number-one-selling Rustler and injects it with brutal4-wheel drive performance, increased durability, and even more fun! Bury the throttle and the Rustler 4X4 VXL launches its front wheels skyward as it shreds the ground underneath. Beneath the sleek clipless body, the heavy-duty driveline delivers extreme Velineon brushless horsepower.",67076-4,Traxxas,Off-Road,Stadium Truck,4WD,1/10,tra67076-4-grn.jpg
Traxxas Rustler 4x4 VXL Red,$579.99,20334671110,"The all-new Rustler 4X4 VXL is a hard-charging wheelie machine that captures the speed and classic style of the number-one-selling Rustler and injects it with brutal4-wheel drive performance, increased durability, and even more fun! Bury the throttle and the Rustler 4X4 VXL launches its front wheels skyward as it shreds the ground underneath. Beneath the sleek clipless body, the heavy-duty driveline delivers extreme Velineon brushless horsepower.",67076-4,Traxxas,Off-Road,Stadium Truck,4WD,1/10,tra67076-4-red.jpg
Traxxas Rustler VXL Brushless 1/10 RTR 4x4 Stadium Truck Orange,$579.99,20334671813,"The all-new Rustler 4X4 VXL is a hard-charging wheelie machine that captures the speed and classic style of the number-one-selling Rustler and injects it with brutal4-wheel drive performance, increased durability, and even more fun! Bury the throttle and the Rustler 4X4 VXL launches its front wheels skyward as it shreds the ground underneath. Beneath the sleek clipless body, the heavy-duty driveline delivers extreme Velineon brushless horsepower.",67076-4ORANGE,Traxxas,Off-Road,Stadium Truck,4WD,1/10,tra67076-4orange.jpg
Traxxas Rustler VXL Brushless 1/10 RTR 4x4 Stadium Truck Pink,$579.99,20334671714,"The all-new Rustler 4X4 VXL is a hard-charging wheelie machine that captures the speed and classic style of the number-one-selling Rustler and injects it with brutal4-wheel drive performance, increased durability, and even more fun! Bury the throttle and the Rustler 4X4 VXL launches its front wheels skyward as it shreds the ground underneath. Beneath the sleek clipless body, the heavy-duty driveline delivers extreme Velineon brushless horsepower.",67076-4PINK,Traxxas,Off-Road,Stadium Truck,4WD,1/10,tra67076-4pink.jpg
Traxxas Rustler VXL Brushless 1/10 RTR Stadium Truck Green,$395.99,20334374516,"The Traxxas Rustler VXL combines Traxxas Stability Management (TSM) and Velineon extreme horsepower with the proven fun and durability that made Rustler the number-1 selling electric stadium racer. The Velineon Brushless Power System launches Rustler VXL to new heights with speeds of 70mph and beyond*! Hardcore, wheel-standing acceleration completely blows everything else away. Rustler’s low, wide stance provides razor-sharp handling and phenomenal grip with TSM keeping you in firm control. Go ahead, rip full throttle! Rustler kicks up towering roosts of mud and its waterproof electronics ensure that no adventure is out of reach, no matter how extreme!",37076-4-Green,Traxxas,Off-Road,Stadium Truck,2WD,1/10,tra37076-4g-2.jpg
Traxxas Rustler VXL Brushless 1/10 RTR Stadium Truck Orange,$395.99,20334374714,"The Traxxas Rustler VXL combines Traxxas Stability Management (TSM) and Velineon extreme horsepower with the proven fun and durability that made Rustler the number-1 selling electric stadium racer. The Velineon Brushless Power System launches Rustler VXL to new heights with speeds of 70mph and beyond*! Hardcore, wheel-standing acceleration completely blows everything else away. Rustler’s low, wide stance provides razor-sharp handling and phenomenal grip with TSM keeping you in firm control. Go ahead, rip full throttle! Rustler kicks up towering roosts of mud and its waterproof electronics ensure that no adventure is out of reach, no matter how extreme!",37076-4-Orange,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37076-4orange.jpg
Traxxas Rustler VXL Brushless 1/10 RTR Stadium Truck OrangeX,$395.99,20334374813,The Fastest Ready-To-Race Electric Stadium Truck You Can Buy!,37076-4ORANGEX,Traxxas,Off-Road,Stadium Truck,2WD,1/10,37076-4orangex.jpg
Traxxas Rustler VXL Brushless 1/10 RTR Stadium Truck Red,$395.99,20334374615,"The Traxxas Rustler VXL combines Traxxas Stability Management (TSM) and Velineon extreme horsepower with the proven fun and durability that made Rustler the number-1 selling electric stadium racer. The Velineon Brushless Power System launches Rustler VXL to new heights with speeds of 70mph and beyond*! Hardcore, wheel-standing acceleration completely blows everything else away. Rustler’s low, wide stance provides razor-sharp handling and phenomenal grip with TSM keeping you in firm control. Go ahead, rip full throttle! Rustler kicks up towering roosts of mud and its waterproof electronics ensure that no adventure is out of reach, no matter how extreme!",37076-4-RED,Traxxas,Off-Road,Stadium Truck,2WD,1/10,tra37076-4-red.jpg
Traxxas Rustler VXL Brushless 1/10 RTR Stadium Truck Yellow,$395.99,20334374912,The Fastest Ready-To-Race Electric Stadium Truck You Can Buy!,37076-4YELLOW,Traxxas,Off-Road,Stadium Truck,2WD,1/10,tra37076-4yellow.jpg
Traxxas Slash 4x4 Brushed Green,$396.75,20334680716,"The Traxxas Slash set the standard for durability, performance, and fun by which all other short course trucks are measured. The new Slash 4X4 combines the best elements of the hardcore Slash 4X4 VXL with an unbeatable low price. Outfitted with the powerful Titan 12T 550 motor and bulletproof reliability of the waterproof XL-5 electronic speed control, the Slash takes on any high-flying, fender-banging, all-weather adventure you can throw at it. Grab your transmitter, rip some 4-wheel roost, and discover why nothing else is built like a Slash!",68054-1-grn,Traxxas,Off-Road,Short Course,4WD,1/10,68054-1-slash-4x4-green-3qtr-front.jpg
Traxxas Slash 4x4 Brushed Orange,$396.75,20334680617,"The Traxxas Slash set the standard for durability, performance, and fun by which all other short course trucks are measured. The new Slash 4X4 combines the best elements of the hardcore Slash 4X4 VXL with an unbeatable low price. Outfitted with the powerful Titan 12T 550 motor and bulletproof reliability of the waterproof XL-5 electronic speed control, the Slash takes on any high-flying, fender-banging, all-weather adventure you can throw at it. Grab your transmitter, rip some 4-wheel roost, and discover why nothing else is built like a Slash!",68054-1-orng,Traxxas,Off-Road,Short Course,4WD,1/10,68054-1-slash-4x4-orange-3qtr-front.jpg
Traxxas Slash 4x4 Platinum VXL,$644.99,20334680488,"The next-generation Slash 4X4 Platinum Edition features a Low-CG chassis and high-volume shocks to deliver the ultimate in short-course racing performance. The Platinum Edition arrives fully assembled and ready to complete with your transmitter, receiver, and battery (not included). In place of the radio system, the Platinum Edition is loaded with Traxxas' premium option parts and accessories.  Standard equipment includes machined aluminum suspension components, front and rear swaybars (including a set of extra stiff 'bars), and a clear body ready for your own signature paint style. The Platinum Edition also includes a sealed, silicone-filled differential to replace the installed Torque-Control slipper clutch when track conditions favor a center diff. The Platinum's standout features are its Low-CG chassis and massive GTR shocks, both all-new for the Slash 4X4 Platinum.",6804R,Traxxas,Off-Road,Short Course,4WD,1/10,6804r-3qtr-front.jpg
Traxxas Slash 4x4 VXL Rtr Fox Edition,$555.99,20334685513,"The Traxxas Slash defined the Short Course truck segment when it was introduced and set the standard for durability, performance, and technology. Traxxas engineers expanded Slash 4X4’s performance, adding even more cutting-edge technology to its brutal brushless power. Traxxas Stability Management combines with the Low-CG chassis to make Slash 4X4 incredibly agile and easily controllable.",68086-4Fox,Traxxas,Off-Road,Short Course,4WD,1/10,tra68086-4fox.jpg
Traxxas Slash 4x4 VXL Rtr Orange,$555.99,20334683410,"The Traxxas Slash defined the Short Course truck segment when it was introduced and set the standard for durability, performance, and technology. Traxxas engineers expanded Slash 4X4’s performance, adding even more cutting-edge technology to its brutal brushless power. Traxxas Stability Management combines with the Low-CG chassis to make Slash 4X4 incredibly agile and easily controllable.",68086-4-orng,Traxxas,Off-Road,Short Course,4WD,1/10,68086-4-orng.jpg
Traxxas Slash 4x4 VXL Rtr Red,$555.99,20334683311,"The Traxxas Slash defined the Short Course truck segment when it was introduced and set the standard for durability, performance, and technology. Traxxas engineers expanded Slash 4X4’s performance, adding even more cutting-edge technology to its brutal brushless power. Traxxas Stability Management combines with the Low-CG chassis to make Slash 4X4 incredibly agile and easily controllable.",68086-4Red,Traxxas,Off-Road,Short Course,4WD,1/10,68086-4red.jpg
Traxxas Slash 4x4 VXL Rtr Vision Wheel Edition,$555.99,20334683212,"The Traxxas Slash defined the Short Course truck segment when it was introduced and set the standard for durability, performance, and technology. Traxxas engineers expanded Slash 4X4’s performance, adding even more cutting-edge technology to its brutal brushless power. Traxxas Stability Management combines with the Low-CG chassis to make Slash 4X4 incredibly agile and easily controllable.",68086-4-visn,Traxxas,Off-Road,Short Course,4WD,1/10,68086-4-visn.jpg
Traxxas Slash Blue Rtr,$279.99,20334586711,"The Traxxas Slash short-course race truck puts you in the driver's seat for intense fender-to-fender, high-flying off-road action. Bring home the thrill of 900+ horsepower full-scale racing and head-to-head competition to your own backyard. The rear-wheel drive Slash is purpose built to fly over jumps and rip full-throttle through the turns. The Slash hangs it out for an all new way to challenge your driving skills. The 4-wheel independent suspension and racing tires carefully replicate real world driving and handling experience as closely as possible.",58024-BLUEX,Traxxas,Off-Road,Short Course,2WD,1/10,58024b.jpg
Traxxas Slash Blue W/OBA,$395.99,20334581310,"This is the Blue color schemed Traxxas Slash 1/10 Scale Ready to Run Electric 2WD Short-Course Truck, with On Board Audio. Grab the throttle and the On-Board Audio System roars to life, projecting the actual engine sounds from a 900+ horsepower Pro 4X4 short course truck.",58034-2,Traxxas,Off-Road,Short Course,2WD,1/10,tra58034-2-blue.jpg
Traxxas Slash Raptor,$365.99,20334586117,The Traxxas 2017 Ford Raptor replica takes you off-road with next level scale realism. The sleek Raptor body is fully detailed with an injection molded nylon composite grill and front bumper to capture the depth and detail of Ford’s breathtaking design. Integrated hood vents and side mirrors complete the look. The heavy-duty body is extra tough for all your off-roading adventures.,58094-1-FOX,Traxxas,Off-Road,"Short Course,Scale Replica",2WD,1/10,tra58094-1-fox.jpg
Traxxas Slash Raptor Red,$365.99,20334586216,The Traxxas 2017 Ford Raptor replica takes you off-road with next level scale realism. The sleek Raptor body is fully detailed with an injection molded nylon composite grill and front bumper to capture the depth and detail of Ford’s breathtaking design. Integrated hood vents and side mirrors complete the look. The heavy-duty body is extra tough for all your off-roading adventures.,58094-1,Traxxas,Off-Road,"Short Course,Scale Replica",2WD,1/10,tra58094-1-red.jpg
Traxxas Slash RTR 2WD Brushed w/ Battery & Charger Black,$335.99,20334587114,"This is the Traxxas Slash 1/10 Scale Ready to Run Electric 2WD Short-Course Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh Power Cell Battery and 4 AMP Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",58034-1BLACK,Traxxas,Off-Road,Short Course,2WD,1/10,58034-1black.jpg
Traxxas Slash RTR 2WD Brushed w/ Battery & Charger Hawaiian,$335.99,20334583512,"This is the Traxxas Slash 1/10 Scale Ready to Run Electric 2WD Short-Course Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh Power Cell Battery and 4 AMP Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",58034-1HWN,Traxxas,Off-Road,Short Course,2WD,1/10,58034-1hwn.jpg
Traxxas Slash RTR 2WD Brushed W/ Battery & Charger Pink,$335.99,20334587312,"Traxxas Slash Pro, Short-Course RC Truck! Intense Short-Course Racing Action!",58034-1PINKX,Traxxas,Off-Road,Short Course,2WD,1/10,58034-1pinkx.jpg
Traxxas Slash RTR 2WD Brushed w/ Battery & Charger Vision Wheels Edition,$335.99,20334586810,"This is the Keegan Kincaid Edition Traxxas Slash 1/10 Scale Ready to Run Electric 2WD Short-Course Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh Power Cell Battery and 4 AMP Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",58034-1VSN,Traxxas,Off-Road,Short Course,2WD,1/10,tra58034-1-visn.jpg
Traxxas Slash RTR 2WD Brushed with Battery & Charger OrangeX,$335.99,20334587411,"This is the Traxxas Slash 1/10 Scale Ready to Run Electric 2WD Short-Course Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh Power Cell Battery and 4 AMP Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",58034-1ORNGX,Traxxas,Off-Road,Short Course,2WD,1/10,58034-1orange.jpg
